case_code	case_name	court_from	court_type	result	author	judge_panel
813 F.3d 1377	JBLU Inc v US	United States Court of International Trade	Federal Court	REVERSED AND REMANDED	MOORE	Before MOORE, TARANTO, and STOLL, Circuit Judges.
688 F.3d 1319	Ford Motor Co v US	Tenth Circuit	Appellate Court	REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED	REYNA	Before RADER, Chief Judge, DYK and REYNA, Circuit Judges.
803 F.3d 659	Shukh v Seagate Technology LLC	District of Minnesota	Federal District Court	VACATED AND REMANDED IN PART, AFFIRMED IN PART	MOORE	Before MOORE, WALLACH, and TARANTO, Circuit Judges.
802 F.3d 1326	Spectrum Pharmaceuticals Inc v Sandoz Inc	District of Nevada	Federal District Court	AFFIRMED.	LOURIE	Before LOURIE, WALLACH, and HUGHES, Circuit Judges.
859 F.3d 1032	New World International Inc v Ford Global Technologies LLC	Northern District of Texas	Federal District Court	AFFIRMED	Bryson	Before Prost, Chief Judge, Bryson and Wallach, Circuit Judges.
773 F.3d 1201	Ericsson Inc v DLink Systems Inc	Eastern District of Texas	Federal District Court	AFFIRMED IN PART, REVERSED IN PART, VACATED IN PART, AND REMANDED	O'MALLEY	Before O'MALLEY, TARANTO, and HUGHES, Circuit Judges.
766 F.3d 1355	Scientific Plastic Products Inc v Biotage AB	Patent Trial and Appeal Board	Federal Court	AFFIRMED.	NEWMAN	Before NEWMAN, MOORE, and WALLACH, Circuit Judges.
764 F.3d 1392	Mformation Technologies Inc v Research in Motion Ltd	Northern District of California	Federal District Court	AFFIRMED	PROST	Before PROST, Chief Judge, SCHALL and HUGHES, Circuit Judges.
746 F.3d 1358	Thai Plastic Bags Industries Co Ltd v US	United States Court of International Trade	Federal Court	AFFIRMED.	WALLACH	Before PROST, WALLACH, and CHEN, Circuit Judges.
791 F.3d 1317	SpeedTrack Inc v Office Depot Inc	Northern District of California	Federal District Court	AFFIRMED.	O'MALLEY	Before PROST, Chief Judge, MAYER, and O'MALLEY, Circuit Judges.
699 F.3d 1340	Transocean Offshore Deepwater Drilling Inc v Maersk Drilling USA Inc	Southern District of Texas	Federal District Court	REVERSED	MOORE	Before PROST, MOORE, and WALLACH, Circuit Judges.
706 F.3d 1351	Arkema Inc v Honeywell Intern Inc	Eastern District of Pennsylvania	Federal District Court	REVERSED and REMANDED	DYK	Before DYK, PLAGER, and O'MALLEY, Circuit Judges.
774 F.3d 755	In re BRCA and BRCABased Hereditary Cancer Test Patent Litigation	District of Utah	Federal District Court	AFFIRMED AND REMANDED	DYK	Before PROST, Chief Judge, CLEVENGER and DYK, Circuit Judges.
688 F.3d 1376	Shell Oil Co v US	United States Court of International Trade	Federal Court	AFFIRMED	WALLACH	Before PROST, MOORE, and WALLACH, Circuit Judges.
749 F.3d 1373	St Jude Medical Cardiology Div Inc v Volcano Corp	Patent Trial and Appeal Board	Federal Court	ON MOTION	TARANTO	Before PROST, O'MALLEY, and TARANTO, Circuit Judges.
818 F.3d 1293	Dell Inc v Acceleron LLC	Patent Trial and Appeal Board	Federal Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	TARANTO	Before MOORE, TARANTO, and HUGHES, Circuit Judges.
842 F.3d 1223	SAS Institute Inc v Complementsoft LLC	Patent Trial and Appeal Board	Federal Court	petition must be denied. When the specified content is provided, the petition may or may not be “instituted,” in the		Before Prost, Chief Judge, Newman, Lourie, Dyk, Moore, Reyna, Wallach, Taranto, Chen, Hughes, and Stoll, Circuit
717 F.3d 1255	Versata Software Inc v SAP America Inc	Eastern District of Texas	Federal District Court	AFFIRMED–IN–PART, VACATED–AND–REMANDED–IN–PART.	RADER	Before RADER, Chief Judge, PROST and MOORE, Circuit Judges.
679 F.3d 1363	In re SuongHyu Hyon	Northern District of California	Federal District Court	AFFIRMED	BRYSON	Before NEWMAN and BRYSON, Circuit Judges, and FOGEL, District Judge. 1
681 F.3d 1323	In re Bill of Lading Transmission and Processing System Patent Litigation	Southern District of Ohio	Federal District Court	Affirmed in part, reversed in part, and remanded.	O'MALLEY	Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
684 F.3d 1276	Preston v Marathon Oil Co	District of Wyoming	Federal District Court	AFFIRMED IN PART, VACATED IN PART.	O'MALLEY	Before BRYSON, DYK and O'MALLEY, Circuit Judges.
854 F.3d 1364	Fairchild (Taiwan) Corporation v Power Integrations Inc	Patent Trial and Appeal Board	Federal Court	ON MOTION	Reyna	Before Lourie, Moore, and Reyna, Circuit Judges.
829 F.3d 1303	Per Aarsleff AS v United States	United States Court of Federal Claims	Federal Court	REVERSED	Wallach	Before Reyna, Wallach, and Hughes, Circuit Judges.
807 F.3d 1311	SCA Hygiene Products Aktiebolag v First Quality Baby Products LLC	Western District of Kentucky	Federal District Court	REVERSED AND REMANDED	PROST	Before  PROST,  Chief  Judge,  NEWMAN,  LOURIE,  DYK,  MOORE,  O'MALLEY,  REYNA,  WALLACH,
829 F.3d 1317	WBIP LLC v Kohler Co	District of Massachusetts	Federal District Court	AFFIRMED-IN-PART, VACATED-IN-PART, AND REMANDED	Moore	Before Moore, O'Malley, and Chen, Circuit Judges.
811 F.3d 1345	Purdue Pharma LP v Epic Pharma LLC	Southern District of New York	Federal District Court	AFFIRMED	PROST	Before PROST, Chief Judge, REYNA, Circuit Judge, and STARK, Chief District Judge. *
812 F.3d 1023	Ethicon EndoSurgery Inc v Covidien LP	Patent Trial and Appeal Board	Federal Court	AFFIRMED	DYK	Before NEWMAN, DYK, and TARANTO, Circuit Judges.
870 F.3d 1337	Allied Mineral Products Inc v Osmi Inc	Southern District of Florida	Federal District Court	AFFIRMED	Moore	Before Moore, Reyna, and Stoll, Circuit Judges.
806 F.3d 1356	Straight Path IP Group Inc v Sipnet EU SRO	Patent Trial and Appeal Board	Federal Court	REVERSED AND REMANDED	TARANTO	Before DYK, TARANTO, and HUGHES, Circuit Judges.
710 F.3d 1303	Frolow v Wilson Sporting Goods Co	District of New Jersey	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED	MOORE	
822 F.3d 1312	Howmedica Osteonics Corp v Zimmer Inc	District of New Jersey	Federal District Court	AFFIRMED	PLAGER	Before O'MALLEY, PLAGER, and WALLACH, Circuit Judges.
714 F.3d 1289	Lazare Kaplan Intern Inc v Photoscribe Technologies Inc	Southern District of New York	Federal District Court	REVERSED IN PART, VACATED IN PART, AND REMANDED.	LOURIE	Before LOURIE, DYK, and REYNA, Circuit Judges.
731 F.3d 1336	TecSec Inc v International Business Machines Corp	Eastern District of Virginia	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED.	LINN	Before MOORE, LINN, and REYNA, Circuit Judges.
684 F.3d 1253	Sciele Pharma Inc v Lupin Ltd	District of Delaware	Federal District Court	VACATED and REMANDED.	MOORE	Before LOURIE, PROST, and MOORE, Circuit Judges.
850 F.3d 1302	Comcast IP Holdings I LLC v Sprint Communications Company LP	District of Delaware	Federal District Court	Affirmed.	Chen	Before O'Malley, Reyna, and Chen, Circuit Judges.
707 F.3d 1342	Brilliant Instruments Inc v GuideTech LLC	Northern District of California	Federal District Court	REVERSED AND REMANDED.	MOORE	Before DYK, MOORE, and REYNA, Circuit Judges.
771 F.3d 1317	Align Technology Inc v International Trade Com'n	International Trade Commission	Federal Court	VACATED AND REMANDED	CHEN	Before PROST, Chief Judge, and CHEN, Circuit Judge. *
760 F.3d 1348	In re Nokia Inc	International Trade Commission	Federal Court	The petition for a writ of mandamus is denied.		Before NEWMAN, MAYER, and BRYSON, Circuit Judges.
737 F.3d 1345	Motorola Mobility LLC v International Trade Com'n	International Trade Commission	Federal Court	AFFIRMED.	RADER	Before RADER, Chief Judge, PROST, and TARANTO, Circuit Judges.
870 F.3d 1367	First Data Corporation v Inselberg	District of New Jersey	Federal District Court	AFFIRMED	O'Malley	Before Newman, O'Malley, and Stoll, Circuit Judges.
858 F.3d 1371	Checkpoint Systems Inc v AllTag Security SA	Eastern District of Pennsylvania	Federal District Court	REVERSED	Newman	Before Newman, Lourie, and Moore, Circuit Judges.
843 F.3d 1315	Power Integrations Inc v Fairchild Semiconductor International Inc	District of Delaware	Federal District Court	AFFIRMED-IN-PART, REVERSED-IN-PART, VACATED-IN-PART, AND REMANDED	Chen	Before Prost, Chief Judge, Schall, and Chen, Circuit Judges.
687 F.3d 1292	Communique Laboratory Inc v LogMeIn Inc	Eastern District of Virginia	Federal District Court	VACATED and REMANDED.	FOGEL	Before RADER, Chief Judge, WALLACH, Circuit Judge, and FOGEL, District Judge. *
725 F.3d 1341	Cheese Systems Inc v Tetra Pak Cheese and Powder Systems Inc	Western District of Wisconsin	Federal District Court	AFFIRMED	RADER	Before RADER, Chief Judge, REYNA, Circuit Judge, and DAVIS, District Judge. *
715 F.3d 1351	Dey LP v Sunovion Pharmaceuticals Inc	Southern District of New York	Federal District Court	REVERSED and REMANDED.	BRYSON	Before NEWMAN, BRYSON, and O'MALLEY, Circuit Judges.
774 F.3d 968	Tyco Healthcare Group LP v Ethicon EndoSurgery Inc	District of Connecticut	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART	PROST	Before PROST, Chief Judge, REYNA and HUGHES, Circuit Judges.
871 F.3d 1367	NFC Technology LLC v Matal	Patent Trial and Appeal Board	Federal Court	REVERSED AND REMANDED	LOURIE	Before Newman, Lourie, and Hughes, Circuit Judges.
675 F.3d 1302	Noah Systems Inc v Intuit Inc	Western District of Pennsylvania	Federal District Court	AFFIRMED.	O'MALLEY	Before RADER Chief Judge, O'MALLEY and REYNA, Circuit Judges.
767 F.3d 1351	STCUNM v Intel Corp	District of New Mexico	Federal District Court	In my view, en banc review is properly denied. The panel decision here in no way departs from the proper construction		Before PROST, Chief Judge, NEWMAN, LOURIE, DYK, MOORE, O'MALLEY, WALLACH, TARANTO, CHEN,
786 F.3d 899	Akamai Technologies Inc v Limelight Networks Inc	District of Massachusetts	Federal District Court	AFFIRMED	LINN	Before PROST, Chief Judge, LINN, and MOORE, *  Circuit Judges.
713 F.3d 1369	Bayer Healthcare Pharmaceuticals Inc v Watson Pharmaceuticals Inc	District of Nevada	Federal District Court	REVERSED	LOURIE	Before LOURIE, SCHALL, and PROST, Circuit Judges.
796 F.3d 1293	Allergan Inc v Sandoz Inc	Eastern District of Texas	Federal District Court	AFFIRMED	LOURIE	Before: LOURIE, LINN, and HUGHES, Circuit Judges.
780 F.3d 1159	MobileMedia Ideas LLC v Apple Inc	District of Delaware	Federal District Court	AFFIRMED IN PART, REVERSED IN PART, VACATED, AND REMANDED	CHEN	Before TARANTO, BRYSON, and CHEN, Circuit Judges.
717 F.3d 1336	Douglas Dynamics LLC v Buyers Products Co	Western District of Wisconsin	Federal District Court	REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED.	RADER	Before RADER, Chief Judge, NEWMAN and MAYER, Circuit Judges.
746 F.3d 1059	StoneEagle Services Inc v Gillman	Northern District of Texas	Federal District Court	VACATED AND REMANDED.	RADER	Before RADER, Chief Judge, MOORE and REYNA, Circuit Judges.
851 F.3d 1365	In re Chudik	Patent Trial and Appeal Board	Federal Court	REVERSED	Reyna	Before Dyk, Reyna, and Stoll, Circuit Judges.
807 F.3d 1283	Carnegie Mellon University v Marvell Technology Group Ltd	Western District of Pennsylvania	Federal District Court	AFFIRMED IN PART, REVERSED IN PART, AND VACATED AND REMANDED IN PART.	TARANTO	Before WALLACH, TARANTO, and CHEN, Circuit Judges.
759 F.3d 1285	AbbVie Deutschland GmbH And Co KG v Janssen Biotech Inc	District of Massachusetts	Federal District Court	AFFIRMED	LOURIE	Before LOURIE, O'MALLEY, and CHEN, Circuit Judges.
804 F.3d 1185	Atlas IP LLC v St Jude Medical Inc	Southern District of Florida	Federal District Court	VACATED AND REMANDED.	TARANTO	Before: MOORE, REYNA, and TARANTO, Circuit Judges.
700 F.3d 482	Technology Patents LLC v TMobile (UK) Ltd	District of Maryland	Federal District Court	AFFIRMED IN PART and VACATED AND REMANDED IN PART	BRYSON	Before BRYSON, PROST, and REYNA, Circuit Judges.
786 F.3d 960	Princeton Vanguard LLC v FritoLay North America Inc	Trademark Trial and Appeal Board	Federal Court	VACATED AND REMANDED	O'MALLEY	Before LOURIE, O'MALLEY, and REYNA, Circuit Judges.
859 F.3d 1371	NexLearn LLC v Allen Interactions Inc	District of Kansas	Federal District Court	AFFIRMED	Moore	Before Moore, Schall, and Hughes, Circuit Judges.
772 F.3d 728	Roche Vitamins Inc v US	United States Court of International Trade	Federal Court	AFFIRMED.	LOURIE	Before PROST, Chief Judge, LOURIE and DYK, Circuit Judges.
692 F.3d 1289	In re Applied Materials Inc			AFFIRMED.	LINN	Before NEWMAN, CLEVENGER, and LINN, Circuit Judges.
743 F.3d 1381	In re Barnes And Noble Inc	Western District of Tennessee	Federal District Court	The petition for writ of mandamus is denied.	REYNA	Before NEWMAN, PROST, and REYNA, Circuit Judges.
782 F.3d 1324	AstraZeneca AB v Apotex Corp	Southern District of New York	Federal District Court	AFFIRMED IN PART, REVERSED IN PART, and REMANDED.	BRYSON	Before O'MALLEY, CLEVENGER, and BRYSON, Circuit Judges.
782 F.3d 1371	Oplus Technologies Ltd v Vizio Inc	Northern District of Illinois	Federal District Court	VACATED AND REMANDED.	MOORE	Before PROST, Chief Judge, MOORE, and O'MALLEY, Circuit Judges.
838 F.3d 1283	Drone Technologies Inc v Parrot SA	Western District of Pennsylvania	Federal District Court	VACATED AND REMANDED	Schall	Before Newman, Schall, and Chen, Circuit Judges.
872 F.3d 1367	Amgen Inc v Sanofi	District of Delaware	Federal District Court	REVERSED IN PART, AFFIRMED IN PART, VACATED IN PART, AND REMANDED	Prost	Before Prost, Chief Judge, Taranto and Hughes, Circuit Judges.
823 F.3d 1369	In re Aqua Products Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Reyna	Before Prost, Chief Judge, Reyna, Circuit Judge, and Stark, Chief District Judge 1 .
705 F.3d 1333	Soverain Software LLC v Newegg Inc	Eastern District of Texas	Federal District Court	REVERSED IN PART, VACATED IN PART.	NEWMAN	Before NEWMAN, PROST, and REYNA, Circuit Judges.
741 F.3d 1263	Wilton Industries Inc v US	United States Court of International Trade	Federal Court	AFFIRMED.	LOURIE	Before LOURIE, PROST, and TARANTO, Circuit Judges.
849 F.3d 1034	Icon Health and Fitness Inc v Strava Inc	Patent Trial and Appeal Board	Federal Court	VACATED-IN-PART, AFFIRMED-IN-PART, AND REMANDED	Wallach	Before O'Malley, Reyna, and Wallach, Circuit Judges.
732 F.3d 1339	Intellect Wireless Inc v HTC Corp	Northern District of Illinois	Federal District Court	AFFIRMED.	MOORE	Before PROST, MOORE, and O'MALLEY, Circuit Judges.
849 F.3d 1073	Eli Lilly and Company v Los Angeles Biomedical Research Institute at Harbo	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Bryson	Before Newman, Bryson, and Moore, Circuit Judges.
707 F.3d 1318	Accent Packaging Inc v Leggett And Platt Inc	Southern District of Texas	Federal District Court	REVERSED–IN–PART, AFFIRMED–IN–PART, AND REMANDED	PROST	Before RADER, Chief Judge, PROST and REYNA, Circuit Judges.
841 F.3d 1004	Perfect Surgical Techniques Inc v Olympus America Inc	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED	Moore	Before Moore, Schall, and O'Malley, Circuit Judges.
740 F.3d 593	Novartis AG v Lee	Patent Trial and Appeal Board	Federal Court	AFFIRMED IN PART, REVERSED IN PART, AND REMANDED.	TARANTO	Before NEWMAN, DYK, and TARANTO, Circuit Judges.
829 F.3d 1364	In re Magnum Oil Tools International Ltd	Patent Trial and Appeal Board	Federal Court	REVERSED	O'Malley	Before Newman, O'Malley, and Chen, Circuit Judges.
860 F.3d 1352	Nantkwest Inc v Matal	Patent Trial and Appeal Board	Federal Court	REVERSED AND REMANDED	Prost	Before Prost, Chief Judge, Dyk and Stoll, Circuit Judges.
698 F.3d 1374	Voter Verified Inc v Premier Election Solutions Inc	Middle District of Florida	Federal District Court	AFFIRMED	LOURIE	Before LOURIE, REYNA, and WALLACH, Circuit Judges.
777 F.3d 1343	Dongtai Peak Honey Industry Co Ltd v US	United States Court of International Trade	Federal Court	AFFIRMED	WALLACH	Before WALLACH, TARANTO, and CHEN, Circuit Judges.
710 F.3d 1318	Abbott Laboratories v Cordis Corp	Eastern District of Virginia	Federal District Court	AFFIRMED	DYK	Before RADER, Chief Judge, DYK, and REYNA, Circuit Judges.
806 F.3d 1376	US v Nitek Electronics Inc	United States Court of International Trade	Federal Court	AFFIRMED	CLEVENGER	Before NEWMAN, CLEVENGER, and O'MALLEY, Circuit Judges.
734 F.3d 1306	Ashley Furniture Industries Inc v US	International Trade Commission	Federal Court	AFFIRMED	MOORE	Before PROST, CLEVENGER, and MOORE, Circuit Judges.
737 F.3d 704	Futurewei Technologies Inc v Acacia Research Corp	Central District of California	Federal District Court	AFFIRMED.	TARANTO	Before REYNA, MAYER, and TARANTO, Circuit Judges.
723 F.3d 1322	In re Adler			AFFIRMED.	WALLACH	Before PROST, REYNA, and WALLACH, Circuit Judges.
834 F.3d 1347	Mathis v McDonald	United States Court of Appeals for Veterans Claims	Military Court	The petition for rehearing en banc is denied.		Before Prost, Chief Judge, Newman, Lourie, Dyk, Moore, O’Malley, Reyna, Wallach, Taranto, Chen, Hughes, and
851 F.3d 1375	Meridian Products LLC v United States	United States Court of International Trade	Federal Court	REVERSED	Wallach	Before Prost, Chief Judge, Newman and Wallach, Circuit Judges.
781 F.3d 1372	Intellectual Ventures II LLC v JPMorgan Chase And Co	Patent Trial and Appeal Board	Federal Court	DISMISSED	O'MALLEY	Before O'MALLEY, BRYSON, and HUGHES, Circuit Judges.
841 F.3d 954	REG Synthetic Fuels LLC v Neste Oil Oyj	Patent Trial and Appeal Board	Federal Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED	Chen	Before Prost, Chief Judge, Taranto, and Chen, Circuit Judges.
773 F.3d 1338	Promega Corp v Life Technologies Corp	Western District of Wisconsin	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED.	CHEN	Before PROST, Chief Judge, MAYER and CHEN, Circuit Judges.
797 F.3d 1363	Jack Wolfskin Ausrustung Fur Draussen GmbH And Co KGAA v New Millennium Sp	Trademark Trial and Appeal Board	Federal Court	AFFIRMED–IN–PART, REVERSED–IN–PART, and REMANDED	CHEN	Before LOURIE, BRYSON, and CHEN, Circuit Judges.
702 F.3d 1327	In re Yamazaki	District of Colorado	Federal District Court	AFFIRMED.	LOURIE	Before LOURIE and REYNA, Circuit Judges, and KRIEGER, District Judge. *
744 F.3d 725	GlaxoSmithKline LLC v Banner Pharmacaps Inc	District of Delaware	Federal District Court	AFFIRMED.	TARANTO	Before O'MALLEY, WALLACH, and TARANTO, Circuit Judges.
817 F.3d 1339	HP Inc v MPHJ Technology Inv LLC	Patent Trial and Appeal Board	Federal Court	AFFIRMED	LOURIE	Before LOURIE, SCHALL, and HUGHES, Circuit Judges.
772 F.3d 1281	Hartford Fire Ins Co v US	United States Court of International Trade	Federal Court	AFFIRMED	WALLACH	Before LOURIE, PLAGER, and WALLACH, Circuit Judges.
805 F.3d 1328	DeLorme Publishing Co Inc v International Trade Com'n	International Trade Commission	Federal Court	AFFIRMED.	MOORE	Before MOORE, REYNA, and TARANTO, Circuit Judges.
671 F.3d 1350	In re Staats			REVERSED AND REMANDED	DYK	Before DYK, O'MALLEY, and REYNA, Circuit Judges.
774 F.3d 1362	Belimo Automation AG v US	United States Court of International Trade	Federal Court	AFFIRMED	PROST	Before PROST, Chief Judge, NEWMAN and TARANTO, Circuit Judges.
734 F.3d 1315	University of Utah v MaxPlanckGesellschaft Zur Forderung Der Wissenschaf	District of Massachusetts	Federal District Court	AFFIRMED.	REYNA	Before MOORE, REYNA, and WALLACH, Circuit Judges.
677 F.3d 1351	In re EMC Corp	Eastern District of Texas	Federal District Court	Petition granted in part.	DYK	
818 F.3d 694	In re Cree Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	BRYSON	Before CHEN, CLEVENGER, and BRYSON, Circuit Judges.
787 F.3d 1379	Alps South LLC v Ohio Willow Wood Co	Middle District of Florida	Federal District Court	REVERSED, VACATED, AND REMANDED	CHEN	Before LOURIE, MOORE, and CHEN, Circuit Judges.
803 F.3d 1344	Nordock Inc v Systems Inc	Eastern District of Wisconsin	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	MR. MANN: Okay. Fair enough	Before O'MALLEY, REYNA, and CHEN, Circuit Judges.
785 F.3d 595	Giorgio Foods Inc v US	International Trade Commission	Federal Court	AFFIRMED.	DYK	
766 F.3d 1396	Peer Bearing CompanyChangshan v US	United States Court of International Trade	Federal Court	VACATED AND REMANDED	MOORE	Before NEWMAN, PLAGER, and MOORE, Circuit Judges.
877 F.3d 1370	Travel Sentry Inc v Tropp	Eastern District of New York	Federal District Court	VACATED AND REMANDED	O'Malley	Before Lourie, O'Malley, and Taranto, Circuit Judges.
802 F.3d 1271	Astornet Technologies Inc v BAE Systems Inc	District of Maryland	Federal District Court	AFFIRMED	TARANTO	Before PROST, Chief Judge, NEWMAN, and TARANTO, Circuit Judges.
761 F.3d 1329	Amdocs (Israel) Ltd v Openet Telecom Inc	Eastern District of Virginia	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED.	REYNA	Before NEWMAN, CLEVENGER, and REYNA, Circuit Judges.
687 F.3d 1325	Norman G Jensen Inc v US	United States Court of International Trade	Federal Court	AFFIRMED	SCHALL	Before BRYSON, SCHALL, and PROST, Circuit Judges.
852 F.3d 1352	Asetek Danmark AS v CMI USA Inc	Northern District of California	Federal District Court	AFFIRMED IN PART, VACATED IN PART, REMANDED IN PART	Taranto	Before Prost, Chief Judge, Newman, and Taranto, Circuit Judges.
677 F.3d 1361	Chicago Bd Options Exchange Inc v International Securities Exchange LLC	Southern District of New York	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, and REMANDED.	WALLACH	Before RADER, Chief Judge, WALLACH, Circuit Judge, and FOGEL, District Judge. *
851 F.3d 1317	University of Utah v MaxPlanckGesellschaft zur Foerderung der Wissenscha	District of Massachusetts	Federal District Court	AFFIRMED	Reyna	Before O'Malley, Reyna, and Wallach, Circuit Judges.
790 F.3d 1307	ePlus Inc v Lawson Software Inc	Eastern District of Virginia	Federal District Court	The petition for rehearing en banc is denied.		Before  PROST,  Chief  Judge,  NEWMAN,  LOURIE,  DYK,  MOORE,  O'MALLEY,  REYNA,  WALLACH,
670 F.3d 1221	Bywaters v US	Eastern District of Texas	Federal District Court	VACATED and REMANDED.	DYK	
726 F.3d 1306	Taurus IP LLC v DaimlerChrysler Corp	Western District of Wisconsin	Federal District Court	AFFIRMED–IN–PART AND REVERSED–IN–PART	SCHALL	Before PROST, SCHALL, and REYNA, Circuit Judges.
695 F.3d 1348	SanDisk Corp v Kingston Technology Co Inc	Western District of Wisconsin	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED	PROST	Before PROST, REYNA, and WALLACH, Circuit Judges.
857 F.3d 858	Mylan Institutional LLC v Aurobindo Pharma Ltd	Eastern District of Texas	Federal District Court	AFFIRMED	Lourie	Before Lourie, Moore, and Reyna, Circuit Judges.
855 F.3d 1322	RecogniCorp LLC v Nintendo Co Ltd	Western District of Washington	Federal District Court	AFFIRMED	Reyna	Before Lourie, Reyna, and Stoll, Circuit Judges.
683 F.3d 1356	Wm Wrigley Jr Co v Cadbury Adams USA LLC	Northern District of Illinois	Federal District Court	AFFIRMED	BRYSON	Before NEWMAN and BRYSON, Circuit Judges, and FOGEL, District Judge. 1
726 F.3d 1346	Leo Pharmaceutical Products Ltd v Rea	Patent Trial and Appeal Board	Federal Court	REVERSED	RADER	Before RADER, Chief Judge, O'MALLEY, and REYNA, Circuit Judges.
815 F.3d 747	PPC Broadband Inc v Corning Optical Communications RF LLC	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED	MOORE	
692 F.3d 1218	General Elec Co v International Trade Com'n	International Trade Commission	Federal Court		RADER	Before RADER, Chief Judge, NEWMAN and LINN, Circuit Judges.
700 F.3d 1361	Raylon LLC v Complus Data Innovations Inc	Eastern District of Texas	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED	PROST	Before PROST, MOORE, and REYNA, Circuit Judges.
716 F.3d 596	Motiva LLC v International Trade Com'n	International Trade Commission	Federal Court	AFFIRMED.	PROST	Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
780 F.3d 1376	Kennametal Inc v Ingersoll Cutting Tool Co	Patent Trial and Appeal Board	Federal Court	AFFIRMED.	LINN	Before PROST, Chief Judge, NEWMAN, and LINN, Circuit Judges.
758 F.3d 1362	Golden Bridge Technology Inc v Apple Inc	District of Delaware	Federal District Court	AFFIRMED.	MOORE	Before MOORE, MAYER, and CHEN, Circuit Judges.
713 F.3d 1090	Biogen Idec Inc v GlaxoSmithKline LLC	Southern District of California	Federal District Court	AFFIRMED	REYNA	Before DYK, PLAGER, and REYNA, Circuit Judges.
812 F.3d 1050	Trireme Medical LLC v AngioScore Inc	Northern District of California	Federal District Court	REVERSED AND REMANDED	DYK	Before PROST, Chief Judge, DYK, and CHEN, Circuit Judges.
767 F.3d 1300	Mukand Ltd v US	United States Court of International Trade	Federal Court	AFFIRMED	REYNA	Before NEWMAN, DYK, and REYNA, Circuit Judges.
776 F.3d 1369	Downhole Pipe And Equipment LP v US	United States Court of International Trade	Federal Court	AFFIRMED.	WALLACH	Before REYNA, LINN, and WALLACH, Circuit Judges.
797 F.3d 1039	JVC Kenwood Corp v Nero Inc	Central District of California	Federal District Court	AFFIRMED	NEWMAN	Before NEWMAN, DYK, and REYNA, Circuit Judges.
778 F.3d 1293	Helferich Patent Licensing LLC v New York Times Co	Northern District of Illinois	Federal District Court	REVERSED		Before TARANTO, BRYSON, and CHEN, Circuit Judges. TARANTO, Circuit Judge.
709 F.3d 1365	SynQor Inc v Artesyn Technologies Inc	Eastern District of Texas	Federal District Court	AFFIRMED	RADER	Before RADER, Chief Judge, LOURIE, Circuit Judge, and DANIEL, Chief District Judge. 1
861 F.3d 1362	IPCom GmbH And Co v HTC Corporation	Patent Trial and Appeal Board	Federal Court	AFFIRMED-IN-PART, VACATED-IN-PART, AND REMANDED	Chen	Before Prost, Chief Judge, Clevenger and Chen, Circuit Judges.
797 F.3d 1374	Hyatt v US Patent and Trademark Office	Eastern District of Virginia	Federal District Court	AFFIRMED	MOORE	Before MOORE, MAYER, and LINN, Circuit Judges.
878 F.3d 1012	Chemtall Inc v United States	United States Court of International Trade	Federal Court	AFFIRMED	BRYSON	Before Dyk, Bryson, and Reyna, Circuit Judges.
853 F.3d 1296	Medicines Company v Mylan Inc	Northern District of Illinois	Federal District Court		Dyk	Before Dyk, Wallach, and Hughes, Circuit Judges.
864 F.3d 1334	Soft Gel Technologies Inc v Jarrow Formulas Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Bryson	Before Prost, Chief Judge, Bryson and Hughes, Circuit Judges.
817 F.3d 755	Acorda Therapeutics Inc v Mylan Pharmaceuticals Inc	District of Delaware	Federal District Court	AFFIRMED	TARANTO	Before NEWMAN, O'MALLEY, and TARANTO, Circuit Judges.
694 F.3d 1367	st Media LLC v Electronic Arts Inc	District of Nevada	Federal District Court	REVERSED	LINN	Before RADER, Chief Judge, LINN and WALLACH, Circuit Judges.
713 F.3d 1377	Aspex Eyewear Inc v Zenni Optical Inc	Southern District of Florida	Federal District Court	AFFIRMED	NEWMAN	Before NEWMAN, PROST, and REYNA, Circuit Judges.
